event_id,event_type,set_piece,team,opponent,player,x,y,end_x,end_y,outcome,shot_result,delivery_type,side,foot,subtype,players_in_box,first_contact_team,second_ball_team,retained,xg,marking,venue,minute,second,period,competition,season,match_id,match_label
FK015,free_kick,free_kick,FC Masar,Nile Stars,M. Salah,77,61,100,56,shot,Off Target,driven,central,left,direct,4,attack,,,,,home,69,25,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK016,free_kick,free_kick,FC Masar,Nile Stars,M. Salah,81,47,100,53,shot,Off Target,driven,central,left,direct,4,attack,,,,,home,74,11,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK017,free_kick,free_kick,FC Masar,Nile Stars,M. Salah,75,46,100,42,goal,Goal,driven,central,left,direct,2,attack,,,0.1,,home,82,58,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK018,free_kick,free_kick,FC Masar,Nile Stars,M. Salah,77,39,100,40,goal,Goal,driven,central,left,direct,2,attack,,,0.1,,home,86,11,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK019,free_kick,free_kick,FC Masar,Nile Stars,Zizo,67,80,91,54,cleared,,inswing,right,right,indirect,6,defence,,,,zonal,home,91,46,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK020,free_kick,free_kick,FC Masar,Nile Stars,Zizo,80,15,94,56,cleared,,outswing,right,right,indirect,4,defence,,,,zonal,home,99,1,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK021,free_kick,free_kick,FC Masar,Nile Stars,Trezeguet,71,20,87,53,goal,Goal,inswing,left,right,indirect,6,attack,,,0.1,zonal,home,106,2,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK022,free_kick,free_kick,FC Masar,Nile Stars,Trezeguet,80,15,88,48,shot,Saved,outswing,left,right,indirect,6,attack,,,0.1,zonal,home,114,42,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK023,free_kick,free_kick,FC Masar,Nile Stars,Zizo,67,15,92,56,goal,Goal,lofted,left,right,indirect,5,attack,,,0.2,zonal,home,120,24,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI024,throw_in,throw_in,FC Masar,Nile Stars,A. Hegazi,90,0,93,49,cleared,,long,left,,long_throw,3,defence,,no,,,home,128,19,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI025,throw_in,throw_in,FC Masar,Nile Stars,A. Hegazi,83,100,85,50,shot,Saved,long,right,,long_throw,6,attack,,no,0.1,,home,135,0,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI026,throw_in,throw_in,FC Masar,Nile Stars,A. Hegazi,85,0,88,39,cleared,,long,left,,long_throw,5,defence,,no,,,home,140,42,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI027,throw_in,throw_in,FC Masar,Nile Stars,A. Hegazi,88,100,91,63,shot,Saved,long,right,,long_throw,4,attack,,no,0.1,,home,146,51,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI028,throw_in,throw_in,FC Masar,Nile Stars,A. Hegazi,87,0,87,47,shot,Saved,long,left,,long_throw,4,attack,,no,0.1,,home,150,22,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI029,throw_in,throw_in,FC Masar,Nile Stars,A. Hegazi,84,0,85,65,retained,,long,right,,long_throw,6,attack,,yes,,,home,153,30,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
PEN030,penalty,penalty,FC Masar,Nile Stars,M. Salah,88,50,100,48,goal,Goal,,,,penalty,1,attack,,,0.76,,home,30,53,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
PEN031,penalty,penalty,FC Masar,Nile Stars,O. Marmoush,88,50,100,55,saved,Saved,,,,penalty,1,attack,,,0.76,,home,58,24,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
PEN032,penalty,penalty,FC Masar,Nile Stars,Zizo,88,50,100,58,goal,Goal,,,,penalty,1,attack,,,0.76,,home,74,31,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
PEN033,penalty,penalty,FC Masar,Nile Stars,M. Salah,88,50,100,52,missed,Off Target,,,,penalty,1,attack,,,0.76,,home,88,45,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR034,corner,corner,Nile Stars,FC Masar,Opp Winger,100,0,95,52,shot,Saved,outswing,left,right,direct,6,attack,,,0.1,,home,6,50,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR035,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,86,58,shot,Saved,inswing,left,right,direct,5,attack,,,0.2,,home,14,50,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR036,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,96,41,shot,Saved,inswing,left,left,direct,7,attack,,,0.1,,home,18,45,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR037,corner,corner,Nile Stars,FC Masar,Opp Winger,100,0,93,55,cleared,,inswing,right,right,direct,5,defence,,,,,home,22,25,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR038,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,89,40,shot,Saved,inswing,right,right,direct,5,attack,,,0.1,,home,31,58,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR039,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,92,55,cleared,,outswing,right,left,direct,4,defence,,,,,home,35,46,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR040,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,87,44,shot,Saved,inswing,right,right,direct,6,attack,,,0.2,,home,44,54,1,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR041,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,91,54,goal,Goal,outswing,right,right,direct,7,attack,,,0.2,,home,48,13,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
COR042,corner,corner,Nile Stars,FC Masar,Opp Winger,100,100,92,39,shot,Saved,driven,left,right,direct,5,attack,,,0.2,,home,52,57,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK043,free_kick,free_kick,Nile Stars,FC Masar,Opp 10,77,56,94,59,cleared,,driven,central,,direct,3,defence,,,,,home,61,28,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK044,free_kick,free_kick,Nile Stars,FC Masar,Opp 10,78,58,94,47,cleared,,driven,central,,direct,5,defence,,,,,home,70,32,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK045,free_kick,free_kick,Nile Stars,FC Masar,Opp 10,79,44,90,47,cleared,,driven,central,,indirect,3,defence,,,,,home,79,34,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
FK046,free_kick,free_kick,Nile Stars,FC Masar,Opp 10,76,55,90,56,shot,Saved,driven,central,,direct,5,attack,,,0.0,,home,88,24,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI047,throw_in,throw_in,Nile Stars,FC Masar,Opp Back,90,0,92,64,cleared,,long,right,,long_throw,4,defence,,,,,home,93,34,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI048,throw_in,throw_in,Nile Stars,FC Masar,Opp Back,83,100,85,57,cleared,,long,right,,long_throw,3,defence,,,,,home,102,4,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
TI049,throw_in,throw_in,Nile Stars,FC Masar,Opp Back,89,100,90,43,cleared,,long,right,,long_throw,3,defence,,,,,home,111,30,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
PEN050,penalty,penalty,Nile Stars,FC Masar,Opp Striker,88,50,100,46,saved,Saved,,,,penalty,1,attack,,,0.76,,home,65,10,2,Egyptian Premier League,2025/26,MASAR_NILE_2025_08_23,FC Masar vs Nile Stars
