event_type,x,y,x2,y2,team,opponent,match_id,phase,player,receiver,outcome,shot_result,body_part,minute,second,period,shirt_number,sequence_id
pass,54.35764759156376,93.8829182134093,66.60023825188767,100.0,Al Ahly,Rivals FC,M3,progression,Marwan,Salah,unsuccessful,,right foot,9,41,1,29,
dribble,56.93105597182363,84.35874526155753,68.93122774854531,90.76103998296583,Al Ahly,Rivals FC,M1,build-up,Zizo,Marwan,successful,,left foot,85,41,1,22,
pass,67.65476893105354,0.032027772812681654,66.22117416598897,0.5861028485211223,Al Ahly,Rivals FC,M2,final-third,Dieng,Marwan,successful,,left foot,30,28,2,20,S3
duel,98.29061339254459,87.43810734933191,100.0,78.58250816501567,Al Ahly,Rivals FC,M1,final-third,Dieng,Marwan,successful,,head,67,8,2,19,
duel,0.39116083560223336,71.71088784528176,2.3624357440936765,58.655936830921526,Al Ahly,Rivals FC,M3,final-third,Dieng,Marwan,successful,,head,46,23,2,25,S2
pass,11.868860992246722,22.022305733531322,28.843620778046066,52.03528391287881,Al Ahly,Rivals FC,M2,build-up,Dieng,Zizo,unsuccessful,,right foot,88,32,1,23,S3
recovery,8.876226799053777,68.55721309788018,25.0135956789642,63.6574249561862,Al Ahly,Rivals FC,M1,build-up,Zizo,Salah,successful,,left foot,69,25,2,20,S1
shot,88.05795356020987,93.71646445802743,45.94484326342534,95.75918212360568,Al Ahly,Rivals FC,M1,final-third,Marwan,Zizo,successful,Saved,head,88,26,1,11,S2
shot,72.11818837938489,6.455446562701117,9.854306340076816,1.3456015540046575,Al Ahly,Rivals FC,M3,final-third,Marwan,Salah,successful,Saved,left foot,58,38,2,26,
recovery,98.77152519534441,29.755173786296073,96.58853368540726,32.609419682732266,Zamalek,Rivals FC,M1,build-up,Marwan,Zizo,unsuccessful,,left foot,57,14,1,16,S1
carry,15.011104766999262,12.800839180482615,31.208532393875878,8.361927040097695,Al Ahly,Rivals FC,M2,progression,Kahraba,,successful,,left foot,55,56,1,29,
duel,47.42297729700526,87.01211351243158,62.92510883012229,89.0788568185022,Al Ahly,Rivals FC,M2,progression,Salah,,successful,,left foot,64,48,1,10,S1
interception,88.18684969230456,12.61398506988608,100.0,31.06761987556645,Al Ahly,Rivals FC,M1,final-third,Kahraba,Marwan,unsuccessful,,head,52,1,1,24,
pass,47.41349486246411,10.221812600089574,71.6826506106009,1.932525774650827,Al Ahly,Rivals FC,M2,build-up,,Salah,unsuccessful,,right foot,85,5,1,23,S1
interception,24.68938489053103,9.411703916311998,30.623054748765547,16.569247281439356,Zamalek,Rivals FC,M2,final-third,Dieng,,successful,,head,64,0,1,13,S3
pass,29.210875631129728,83.67474475521546,48.99468464489267,83.53039836311324,Al Ahly,Rivals FC,M1,build-up,,,successful,,head,3,3,1,22,S3
carry,42.18972303706213,19.91618644597598,43.92441659186381,29.36109044838235,Al Ahly,Rivals FC,M2,progression,,Marwan,successful,,left foot,83,38,1,11,S3
pass,30.74531534004241,96.79391153444891,44.10112543242211,89.13565275257251,Al Ahly,Rivals FC,M1,final-third,,,successful,,right foot,48,33,1,28,S1
shot,86.60618198326117,3.557346149236773,65.76548845566636,9.12827818622581,Zamalek,Rivals FC,M3,progression,Salah,Salah,successful,Saved,left foot,25,18,1,22,
pass,41.31729226406179,45.730691204274386,51.945091798331,34.352186723589696,Zamalek,Rivals FC,M1,final-third,Salah,Marwan,unsuccessful,,head,88,33,2,11,
interception,8.137188105619442,13.122802904721652,22.100528820787325,0.0,Zamalek,Rivals FC,M2,progression,Salah,Marwan,successful,,left foot,7,59,1,24,
pass,87.41091851124365,18.126456673126324,85.24509609460492,2.589788998868192,Al Ahly,Rivals FC,M2,build-up,Salah,Salah,successful,,right foot,28,46,1,11,
cross,96.91076454163525,18.210198653365673,100.0,7.05867846271858,Al Ahly,Rivals FC,M3,final-third,Salah,Salah,successful,,right foot,58,32,2,17,
pass,56.25106789072816,56.06099804526337,69.52926466602997,42.75643309892363,Zamalek,Rivals FC,M2,build-up,,Salah,successful,,head,71,12,1,23,S2
dribble,9.442394001216991,21.888586084686267,9.174336954221518,18.257994722506258,Al Ahly,Rivals FC,M2,build-up,,,successful,,head,25,7,1,2,S3
pass,90.88552890763519,34.07085473935714,94.11000061946723,47.78153778654743,Zamalek,Rivals FC,M3,build-up,Dieng,Salah,unsuccessful,,head,19,17,2,3,
pass,36.27343979894856,86.26456359937804,72.39791222443398,72.64971102713096,Zamalek,Rivals FC,M3,build-up,Kahraba,Salah,successful,,right foot,67,30,1,19,S3
duel,38.15881386615329,60.352570201343994,52.4955002106947,66.00711615510691,Al Ahly,Rivals FC,M3,build-up,Marwan,Salah,successful,,head,86,52,2,17,
duel,25.537037421317155,0.6488433123560289,29.01773165667621,2.6568115699337738,Zamalek,Rivals FC,M2,build-up,,,unsuccessful,,right foot,60,10,1,3,S3
cross,92.89174937755602,26.567296699415365,94.26552939840481,18.118835240823255,Zamalek,Rivals FC,M3,final-third,Salah,Marwan,successful,,left foot,41,1,2,21,S1
tackle,69.20205318743166,61.05219425326759,94.70125555099656,49.82078351297365,Al Ahly,Rivals FC,M2,final-third,,Salah,successful,,right foot,25,53,1,6,S1
pass,30.090066331860456,31.45954699446738,13.663709104836837,36.762010642888015,Al Ahly,Rivals FC,M1,build-up,Salah,,successful,,right foot,50,20,2,15,S1
interception,36.9420283772126,9.221403278252783,44.86485582633909,15.14090162752061,Al Ahly,Rivals FC,M2,build-up,Salah,Salah,unsuccessful,,left foot,71,30,2,14,S2
pass,42.280637262021045,10.207614659531695,59.71643559810114,6.057569063298233,Al Ahly,Rivals FC,M2,final-third,Marwan,Marwan,unsuccessful,,right foot,47,3,2,14,
tackle,38.05576741285843,35.5372580732745,43.499223552693365,33.77403569811807,Al Ahly,Rivals FC,M3,final-third,Salah,Salah,successful,,head,56,7,2,17,
dribble,67.23443889528261,62.004829114042806,83.48532946468218,61.93978803582434,Al Ahly,Rivals FC,M1,build-up,,Salah,unsuccessful,,right foot,2,52,1,22,S1
dribble,94.94972001352808,47.06977712765439,95.41536733139758,31.169519908861282,Zamalek,Rivals FC,M2,build-up,Marwan,Marwan,successful,,right foot,46,6,1,8,S1
block,4.301373235523576,23.685274774412267,15.077115574267067,25.026504150305357,Zamalek,Rivals FC,M2,progression,,,successful,,right foot,51,13,2,4,S2
recovery,84.7920541878908,15.302916377566422,96.09773931606122,19.039669696908618,Al Ahly,Rivals FC,M1,final-third,Dieng,,successful,,head,54,59,2,17,
recovery,84.9245675377402,30.344768237987275,95.91236380312039,51.67533397904284,Al Ahly,Rivals FC,M1,build-up,Marwan,Zizo,successful,,left foot,94,52,2,25,
pass,21.906743633583716,87.97091946159607,34.199211075088,72.53193543390258,Al Ahly,Rivals FC,M1,progression,Zizo,Zizo,unsuccessful,,head,62,22,1,28,S2
pass,97.8205972091618,7.932727460111211,100.0,0.0,Zamalek,Rivals FC,M3,final-third,,,successful,,left foot,82,56,1,25,
pass,87.60938317610734,7.20280724534319,100.0,8.23315618650385,Al Ahly,Rivals FC,M3,final-third,Kahraba,Marwan,successful,,left foot,41,1,2,15,
pass,72.26198100053809,8.661355246204728,80.40803839435456,1.5615145289422836,Al Ahly,Rivals FC,M3,progression,,Marwan,successful,,left foot,79,55,1,20,S3
pass,10.693824376804894,55.59515262523937,15.564805640533,50.68439077288313,Al Ahly,Rivals FC,M2,progression,,Marwan,successful,,head,72,16,1,25,S2
interception,44.73068465478698,2.6078368280818665,52.65950095677425,2.7016454803272345,Al Ahly,Rivals FC,M1,build-up,Marwan,,successful,,left foot,37,27,1,2,
pass,75.73105574864962,30.612598106107882,83.42278349817349,27.052969233027074,Al Ahly,Rivals FC,M1,build-up,Salah,Marwan,successful,,head,92,5,2,23,
pass,55.402955874369695,30.309347261104246,50.8767855978337,29.90231617425378,Zamalek,Rivals FC,M3,progression,Dieng,Salah,successful,,head,26,42,1,10,S2
carry,5.877125782224645,42.29033498719931,0.0,47.61951803773759,Al Ahly,Rivals FC,M1,progression,Zizo,Salah,successful,,head,8,48,1,23,S3
interception,76.3867767046165,43.24917665403193,73.54740039704461,23.64694533307586,Al Ahly,Rivals FC,M2,build-up,Marwan,Zizo,successful,,head,12,28,2,2,
tackle,41.0346619432473,83.92829226583059,54.567110186252684,90.72562172617077,Al Ahly,Rivals FC,M1,final-third,,Marwan,successful,,right foot,86,55,1,11,
duel,22.046478183687345,30.12726062869796,26.051489189927185,2.9398807072947655,Zamalek,Rivals FC,M1,final-third,Marwan,Zizo,successful,,left foot,23,2,2,7,S3
pass,34.76038757559166,16.21232103647935,41.31591566455978,36.825158575177355,Al Ahly,Rivals FC,M3,progression,Zizo,Salah,successful,,left foot,19,41,1,19,
carry,10.364746431618277,78.64939275280497,49.74173186285599,89.87681684984351,Zamalek,Rivals FC,M2,final-third,Zizo,Salah,successful,,right foot,61,18,1,12,S3
duel,36.11381161604707,22.274447717088684,58.04509783031645,14.95446377542019,Zamalek,Rivals FC,M2,final-third,Salah,,successful,,right foot,42,12,1,19,
pass,1.553025604359115,14.037797576445266,10.122112833119049,26.390831239763173,Al Ahly,Rivals FC,M3,final-third,,Salah,successful,,right foot,6,34,1,16,
shot,92.49306454379106,1.9711771098268605,100.0,0.24657533957913058,Al Ahly,Rivals FC,M3,progression,,Salah,unsuccessful,Goal,right foot,49,26,1,27,S2
pass,13.671378308527604,95.78696042040082,38.10951085621538,100.0,Al Ahly,Rivals FC,M1,progression,Marwan,,successful,,right foot,28,18,1,22,
cross,33.89970473886332,66.50255923742446,36.74541116430832,75.71390558415412,Zamalek,Rivals FC,M2,progression,Marwan,Zizo,successful,,right foot,7,30,2,9,
shot,86.1623528085353,62.89172901891168,53.133233477329966,67.18371917877344,Zamalek,Rivals FC,M1,progression,Dieng,Zizo,successful,Saved,left foot,4,25,2,21,S2
shot,86.93732641057633,8.985667310819656,62.504207310250976,9.111481521002824,Zamalek,Rivals FC,M1,progression,,,successful,Saved,head,9,44,1,15,S3
carry,33.906777339104025,83.41537053625001,58.43443661248321,91.031347254024,Al Ahly,Rivals FC,M3,progression,Marwan,,successful,,head,27,37,2,23,
cross,88.73276371662747,6.116529123620628,92.14045453048197,3.9446326797017064,Zamalek,Rivals FC,M1,progression,Kahraba,,successful,,left foot,56,28,1,21,S1
pass,18.71826752761049,69.46983639795474,38.426130577123374,65.05772251783995,Al Ahly,Rivals FC,M3,final-third,Kahraba,Salah,successful,,right foot,25,2,1,22,S2
carry,99.70929437833956,83.07499682147271,92.22779073830665,71.78350289237227,Al Ahly,Rivals FC,M1,progression,Salah,Marwan,successful,,head,41,50,1,13,S2
pass,39.25436097771905,46.23083628456206,48.16931770981482,24.576340012842188,Al Ahly,Rivals FC,M2,progression,,Salah,successful,,right foot,19,21,2,23,S1
carry,98.27786748538013,18.909963304574774,100.0,38.18010967750308,Zamalek,Rivals FC,M1,progression,Marwan,,successful,,left foot,73,3,1,21,S2
carry,33.47167833031226,97.51661403948417,51.079855746899,100.0,Al Ahly,Rivals FC,M2,final-third,Dieng,Zizo,successful,,left foot,92,0,2,2,
recovery,8.056371979940181,4.349910962387993,0.31991420298815854,0.0,Zamalek,Rivals FC,M2,build-up,Zizo,Marwan,unsuccessful,,left foot,73,30,1,6,S1
pass,83.34344701545956,27.11927158153278,100.0,32.07487828544654,Al Ahly,Rivals FC,M3,progression,Kahraba,Zizo,successful,,left foot,92,33,1,12,
pass,15.844828654598885,61.42738340833036,31.02243478337886,64.12206918314922,Al Ahly,Rivals FC,M1,final-third,Dieng,,successful,,left foot,19,26,2,7,S1
carry,74.281192606132,63.225822035236,84.25765008320454,36.892498599379024,Al Ahly,Rivals FC,M2,final-third,Salah,Zizo,unsuccessful,,right foot,40,6,2,27,S2
pass,88.04598989396311,18.958771727860945,91.42289922352066,9.11758816622196,Al Ahly,Rivals FC,M2,build-up,Zizo,Marwan,successful,,left foot,92,32,2,14,S1
duel,21.74857014319489,26.82329345641852,29.543222664476897,25.76875985231728,Al Ahly,Rivals FC,M3,progression,,Salah,successful,,right foot,61,25,1,12,S3
pass,31.746850002896785,40.2621790964785,36.60863823962574,61.18056504754709,Al Ahly,Rivals FC,M3,build-up,Zizo,Zizo,successful,,right foot,0,0,1,22,S3
pass,56.41326267230292,97.77973030640692,76.49481228818928,100.0,Al Ahly,Rivals FC,M3,progression,Marwan,Marwan,successful,,head,14,18,1,3,
clearance,86.9079902383214,99.27461904284425,100.0,100.0,Zamalek,Rivals FC,M2,build-up,Kahraba,Salah,unsuccessful,,right foot,58,53,2,18,
pass,85.52254100952399,9.966828397294226,100.0,14.02827390954138,Al Ahly,Rivals FC,M1,build-up,,Marwan,successful,,left foot,71,2,1,2,S3
pass,48.646646695385556,85.41455765155327,66.15232636535237,97.69810138793939,Al Ahly,Rivals FC,M1,progression,,Marwan,successful,,left foot,86,1,2,22,
pass,56.660466663132645,39.76763516119286,54.43544638653336,25.89221448864511,Al Ahly,Rivals FC,M2,progression,Kahraba,Salah,successful,,left foot,70,51,1,24,
carry,80.33556507147837,25.049787199404328,92.29908405063799,32.74730460660276,Zamalek,Rivals FC,M1,final-third,Dieng,,successful,,head,55,25,2,5,S3
pass,15.504500949838217,43.722620598651886,47.55550240094381,52.7905038884135,Zamalek,Rivals FC,M1,build-up,Salah,Marwan,unsuccessful,,right foot,1,11,1,10,
carry,93.16981998504843,5.388441013324452,92.65774241467219,0.0,Al Ahly,Rivals FC,M1,progression,Zizo,Marwan,unsuccessful,,left foot,79,59,1,3,S3
tackle,86.37757500819806,72.55876638384748,99.78605411289082,75.89654577305431,Zamalek,Rivals FC,M3,progression,Marwan,Salah,successful,,left foot,73,41,2,10,
cross,23.38113498551553,70.0277904096085,26.165526925994612,88.68193314075288,Al Ahly,Rivals FC,M3,final-third,Zizo,Marwan,successful,,head,42,28,2,29,S3
duel,62.893432124773426,24.8024256183886,64.58867916417299,48.334569165322705,Al Ahly,Rivals FC,M1,final-third,Kahraba,Zizo,successful,,left foot,16,4,1,24,
tackle,73.22975572958073,3.126695810103808,85.94131055576656,20.53563036752061,Zamalek,Rivals FC,M3,build-up,Salah,Salah,successful,,head,12,39,2,10,S3
interception,64.76998507508588,74.35848570668249,84.55892679612496,66.24298646001583,Zamalek,Rivals FC,M2,final-third,,Salah,successful,,left foot,14,5,2,24,
duel,7.219696083131133,97.82937847386552,25.498885642372176,97.13178469201122,Zamalek,Rivals FC,M1,progression,Kahraba,,successful,,head,60,37,1,9,
recovery,6.183397176172811,13.06842030960439,21.40245019380462,7.254625029985306,Al Ahly,Rivals FC,M3,final-third,Dieng,Salah,unsuccessful,,left foot,54,1,2,13,
recovery,22.301656396314186,98.3636171797291,42.402874025739834,100.0,Al Ahly,Rivals FC,M3,final-third,Kahraba,Marwan,successful,,right foot,35,50,1,25,
pass,10.468660509027917,55.51413233832406,4.7508115562893245,45.789491944416085,Zamalek,Rivals FC,M1,final-third,Marwan,Zizo,successful,,right foot,14,16,1,22,S3
carry,48.471984928129174,23.329869901988243,67.23748963824019,11.164936110950734,Al Ahly,Rivals FC,M3,progression,Zizo,Marwan,successful,,left foot,32,59,1,9,S1
pass,73.73597343598243,76.52663887992638,88.36268993316318,57.482064813628085,Zamalek,Rivals FC,M1,progression,Dieng,,successful,,left foot,91,57,2,4,
pass,57.60858713429931,76.72086508514646,66.35034709171268,79.55127159615937,Al Ahly,Rivals FC,M2,build-up,Salah,Zizo,successful,,head,37,46,1,14,S2
cross,90.5925225854564,35.40091428499611,100.0,41.108107199861195,Al Ahly,Rivals FC,M1,build-up,Zizo,Marwan,successful,,head,3,39,1,26,S3
pass,49.04093611488365,57.29008951799916,51.07686916798668,50.558013840776646,Al Ahly,Rivals FC,M3,progression,Kahraba,,successful,,left foot,5,57,2,6,S2
dribble,44.926696652842224,21.773822786894147,67.15711893610981,13.153961903752005,Zamalek,Rivals FC,M2,build-up,Salah,Zizo,unsuccessful,,right foot,0,52,2,24,S1
cross,12.739900981391127,58.813567994853535,15.770404269524919,57.05974779208895,Zamalek,Rivals FC,M1,progression,Salah,,successful,,left foot,15,3,1,2,
pass,95.36498482548892,19.66127042373086,91.16510503791922,36.3316836786837,Zamalek,Rivals FC,M1,final-third,Dieng,,successful,,right foot,9,31,1,24,S1
carry,67.25155472565916,36.260709997051585,77.75617774930842,20.597234178359496,Al Ahly,Rivals FC,M2,final-third,Zizo,Salah,successful,,right foot,87,41,1,6,S1
pass,98.03820761227338,79.17661349228611,100.0,79.19328224457347,Al Ahly,Rivals FC,M2,final-third,,,successful,,left foot,67,11,1,26,S1
duel,93.47059916169476,79.4805009282046,100.0,82.53098631348328,Al Ahly,Rivals FC,M1,progression,Zizo,,successful,,left foot,66,24,2,24,
pass,8.516394164096319,66.5090824470776,34.22771515921979,71.5497130711218,Al Ahly,Rivals FC,M2,progression,Marwan,,unsuccessful,,left foot,21,43,1,14,
pass,60.34231949548119,90.72163633551095,69.53815507205715,100.0,Zamalek,Rivals FC,M3,build-up,Salah,Marwan,unsuccessful,,head,32,58,1,29,S1
carry,48.727259736338254,77.70221404065288,60.54324424228551,88.24044117388176,Zamalek,Rivals FC,M1,progression,Marwan,Zizo,successful,,left foot,9,10,2,28,
pass,75.43028822082857,60.0604096466003,100.0,63.926949205724966,Zamalek,Rivals FC,M3,final-third,Zizo,,successful,,right foot,81,55,2,20,S3
shot,84.75326847848244,66.90819478942748,0.997005192998289,85.07574550428237,Al Ahly,Rivals FC,M3,build-up,Salah,Marwan,successful,Blocked,head,3,22,2,13,S3
pass,65.92261633408503,13.143799977904502,80.19877026259435,27.469017693821016,Zamalek,Rivals FC,M1,build-up,,Salah,successful,,head,23,13,2,2,
pass,61.07603166264458,4.358211793327616,83.37639258004194,8.438802460022892,Al Ahly,Rivals FC,M1,build-up,Dieng,Salah,unsuccessful,,left foot,90,42,2,20,S1
tackle,37.329252042577835,24.40868905130462,63.11949778520768,27.85418798629017,Zamalek,Rivals FC,M3,final-third,,Marwan,successful,,head,38,15,2,6,
pass,12.562572600972732,76.05975300983927,45.68506505909309,62.42873049091849,Al Ahly,Rivals FC,M1,build-up,Dieng,Marwan,successful,,right foot,70,16,1,10,
pass,68.58762197155396,98.63049134723755,72.61989558159833,100.0,Al Ahly,Rivals FC,M1,final-third,Dieng,,successful,,right foot,52,38,2,15,
pass,4.796029670598956,21.775653055142296,21.54576878630577,12.954685437277837,Zamalek,Rivals FC,M2,progression,,Zizo,successful,,left foot,15,56,1,4,S1
pass,33.7573709264523,97.93976088966893,43.450077584384765,84.83593672274247,Al Ahly,Rivals FC,M2,build-up,Zizo,Zizo,unsuccessful,,head,73,0,2,14,
pass,2.7454929524435623,82.10144231227318,8.849076381812274,79.38242734231694,Zamalek,Rivals FC,M3,progression,Marwan,Zizo,unsuccessful,,head,5,54,1,8,
carry,30.72886350344337,16.3576217304941,34.11444689796454,0.0,Al Ahly,Rivals FC,M2,build-up,,Zizo,successful,,right foot,74,42,2,17,
tackle,24.935524268527086,53.82185385201004,20.930802698430544,43.68269841394728,Al Ahly,Rivals FC,M1,progression,Dieng,Zizo,unsuccessful,,head,84,56,2,3,
pass,61.91659432813822,26.25259351079262,75.93675407829339,20.598021785905694,Al Ahly,Rivals FC,M1,final-third,Dieng,Marwan,unsuccessful,,head,12,26,1,29,S1
pass,68.39717700433371,74.70493053182511,86.62534421825298,79.23875311176876,Zamalek,Rivals FC,M3,final-third,Zizo,,successful,,head,47,1,2,17,
shot,72.52691241240277,35.51080544713622,70.81473890954555,32.137212651266715,Al Ahly,Rivals FC,M3,final-third,,,successful,Goal,right foot,16,36,2,13,S1
clearance,41.05181047172313,39.434453706780005,59.372475411131816,44.633331010094814,Al Ahly,Rivals FC,M1,final-third,Zizo,Salah,successful,,head,40,37,1,26,
block,75.42565411203464,56.96406549198091,80.55729157037783,76.42068944564514,Al Ahly,Rivals FC,M3,progression,Dieng,Zizo,successful,,right foot,70,24,2,3,S2
pass,66.04690018982414,29.542893655039503,66.55571934688933,39.797936649792035,Al Ahly,Rivals FC,M2,progression,,,successful,,head,94,3,1,28,S1
carry,53.43270880013331,79.23733661376863,37.77854860223046,65.73501769258988,Zamalek,Rivals FC,M2,final-third,Salah,Salah,unsuccessful,,right foot,18,21,2,11,S2
clearance,77.9064512363722,60.97602596381577,99.6856557925441,39.9498654057329,Al Ahly,Rivals FC,M3,final-third,Kahraba,Marwan,successful,,left foot,51,21,2,29,S1
pass,97.16565725339024,5.326648330671202,100.0,0.0,Al Ahly,Rivals FC,M2,progression,Marwan,Marwan,unsuccessful,,left foot,33,56,2,19,S1
cross,48.06114546351541,56.65418597599851,55.62686957009197,46.222851265244046,Al Ahly,Rivals FC,M3,progression,Marwan,Marwan,unsuccessful,,left foot,84,51,1,17,
pass,96.17096589469803,43.829337829712614,100.0,20.21129842256434,Al Ahly,Rivals FC,M3,build-up,Dieng,Marwan,successful,,left foot,71,59,1,18,S3
recovery,62.34036884795604,93.06628402852274,59.977092280301584,72.54396382221177,Zamalek,Rivals FC,M3,progression,Salah,Zizo,successful,,left foot,4,51,2,2,S2
tackle,38.68904872090887,95.44800611912817,54.6072186941471,74.91102251494658,Al Ahly,Rivals FC,M1,build-up,Dieng,Zizo,successful,,left foot,32,39,2,17,S1
carry,47.660222379756014,6.01474410670837,57.749123753675434,0.0,Zamalek,Rivals FC,M2,progression,Salah,Marwan,successful,,head,57,58,2,3,S3
pass,65.52530916187462,76.79260875639199,81.69666936783574,93.88207151500532,Al Ahly,Rivals FC,M2,build-up,Kahraba,Marwan,successful,,head,12,16,1,12,S2
pass,31.530676849817453,61.930356048919144,44.06696061374391,82.33239647838901,Zamalek,Rivals FC,M3,build-up,Marwan,Salah,successful,,head,67,38,2,12,
pass,92.29780823537881,50.12670640528045,88.89983999728794,37.65568125091471,Al Ahly,Rivals FC,M1,progression,Marwan,Salah,successful,,right foot,11,10,1,18,
interception,38.58463576741291,11.203651714371732,33.69393709838868,5.4169398155601005,Al Ahly,Rivals FC,M3,final-third,,Salah,successful,,right foot,72,24,2,25,
pass,62.490032766437466,89.48208842088317,77.48889328728703,72.64882073988188,Zamalek,Rivals FC,M2,progression,Dieng,,successful,,right foot,71,8,1,16,S2
